字段名（英文）,字段名（中文）,完整描述,提取提示,层级,标签,重点字段,聚类ID,聚类名称,聚类名称（英文）
reaction_type,反应类型,"The primary chemical transformation for which the organozinc reagent is used, defining the overall application context. Examples: 'Negishi Cross-Coupling', 'Simmons-Smith Cyclopropanation', '1,4-Conjugate Addition'.","Look for this in the title, abstract, or introduction of the paper. It defines the overall goal of the chemical transformation and is often explicitly named.",Level 1,[Core],是,,,
reaction_temperature,反应温度,The temperature or temperature range (in Celsius) at which the reaction is conducted. This is a critical experimental condition influencing both reaction rate (reactivity) and reagent decomposition (stability).,"Typically found in the experimental section, reaction schemes, or in tables/figures during optimization studies. Note any temperature sequences (e.g., addition at -78°C, then warming to RT/25°C).",Level 1,[Core],是,,,
reaction_atmosphere,反应气氛,"The gaseous environment under which the reaction is performed, which is crucial for the stability of air- and moisture-sensitive reagents. Examples: Nitrogen (N₂), Argon (Ar), Air, Glovebox.","Usually stated at the beginning of the general experimental procedures section, e.g., 'All reactions were carried out under an atmosphere of dry argon using Schlenk techniques'.",Level 1,[Core],否,,,
organozinc_reagent_structure,有机锌试剂结构,"The specific chemical structure of the organozinc reagent, which is the primary subject of study. This must be captured in a machine-readable format (SMILES or InChI) for searchability.","This is central information, found throughout the paper, especially in chemical schemes and the experimental section. Identify the structure of the organometallic nucleophile being investigated.",Level 2,[Core],是,,,
substrate_structure,底物结构,"The chemical structure of the primary reaction partner (e.g., the electrophile) that the organozinc reagent reacts with. Essential for analyzing functional group tolerance and substrate scope.",This is a primary reactant. Find its structure in reaction schemes and tables for 'Substrate Scope'. It should be captured for each specific yield reported in such a table. Capture as SMILES or InChI.,Level 2,[Core],是,,,
reagent_preparation_method,试剂制备方法,"The synthetic procedure used to prepare the organozinc reagent. The method (e.g., 'in situ' vs. pre-formed and isolated) can significantly impact the reagent's purity, activity, and stability.","Look for a specific procedure in the experimental section describing how the organozinc reagent was synthesized (e.g., from an organolithium, Grignard, or direct zinc insertion) or if it was purchased.",Level 2,[Core],是,,,
solvent,溶剂,"The solvent or solvent mixture used for the reaction. The solvent's properties (e.g., polarity, coordinating ability) are critical for reagent solubility, aggregation state, and reactivity.","Found in the experimental section for a specific reaction or in optimization tables. If a mixture, note all components and their ratios (e.g., THF/NMP 10:1).",Level 2,[Core],是,,,
additive,添加剂,"Any substance added, often in non-stoichiometric amounts, to modify the reagent's properties or facilitate the reaction. Common examples include activating salts (e.g., LiCl, MgBr₂) or Lewis bases (e.g., TMEDA).","Mentioned in the experimental procedure or highlighted in optimization tables. Note both the chemical name and amount (e.g., LiCl, 1.2 equiv).",Level 2,[Core],否,,,
reagent_concentration,试剂浓度,"The molar concentration (Molarity, M) of the organozinc reagent solution used in the reaction. This parameter is critical as it influences reaction kinetics, aggregation state, and solubility.","Look for the molarity of the reagent solution in the experimental section, e.g., 'a 0.5 M solution of R-ZnX in THF'. It may also be mentioned if the reagent was purchased as a solution of a specific concentration.",Level 2,[Core],否,,,
catalyst_precursor,催化剂前体,"The source of the catalytic metal (e.g., Pd, Ni), used in combination with a ligand to form the active catalyst. Only applicable for catalyzed reactions like cross-couplings. Examples: Pd₂(dba)₃, NiCl₂(dme).","Detailed in the experimental section or in catalyst screening tables. Often listed with its loading percentage (mol %). If no catalyst is mentioned, this field is not applicable.",Level 2,[Core],否,,,
